,train_loss,test_loss,test_f1,test_acc,test_prec,test_recall
0,0.4250726105601575,0.25881552064502744,0.911372442766386,0.9112676056338028,0.9125449104615299,0.9112676056338028
1,0.2993918377492163,0.18769545456997946,0.9212983126295543,0.9211267605633803,0.9234263591108947,0.9211267605633803
2,0.250584803902907,0.17212820575165916,0.9269814456008998,0.9267605633802817,0.9296154895891839,0.9267605633802817
3,0.22609030546996514,0.15169922399636304,0.9338933169208518,0.9338028169014084,0.9354144985585092,0.9338028169014084
4,0.19868909542176272,0.15097674767709743,0.931151628403197,0.9309859154929577,0.9327372734852784,0.9309859154929577
5,0.17935679490460849,0.14138116950274143,0.9381047161167505,0.9380281690140845,0.9396613953126084,0.9380281690140845
6,0.16905934328974132,0.13858230619455203,0.9424235415475851,0.9422535211267605,0.9440334087805087,0.9422535211267605
7,0.15443655545699392,0.13840436673342763,0.9423950962347907,0.9422535211267605,0.9442022475679792,0.9422535211267605
8,0.1457123445839576,0.13646332141910483,0.9465891693918898,0.9464788732394366,0.9481902931091583,0.9464788732394366
9,0.13904164489912502,0.12594156444177662,0.9465709467051743,0.9464788732394366,0.9483749318244006,0.9464788732394366
10,0.1439822186734848,0.1227404484945074,0.9493571802353878,0.9492957746478873,0.9509841770392794,0.9492957746478873
11,0.1395418659458884,0.11697014590239965,0.9507832824084119,0.9507042253521126,0.9520276258093453,0.9507042253521126
12,0.12933355225876836,0.12267340960400835,0.9479853236338038,0.9478873239436619,0.9499563747737197,0.9478873239436619
13,0.12692899139647565,0.12057108131079922,0.9536022436578743,0.9535211267605633,0.9551321065839359,0.9535211267605633
14,0.13684418017339073,0.1211236364759085,0.9536052080926477,0.9535211267605633,0.9560292676593958,0.9535211267605633
15,0.11960592578472759,0.12239353790810384,0.9550333019919404,0.9549295774647887,0.9571600771815142,0.9549295774647887
16,0.12164664679266664,0.12777669385360868,0.9563989233089748,0.956338028169014,0.9582310732956572,0.956338028169014
17,0.1270166460407172,0.12635259925417314,0.9522125791546046,0.952112676056338,0.9550949097785104,0.952112676056338
18,0.11211162474886725,0.12582858853701265,0.950788022194769,0.9507042253521126,0.9536155649717962,0.9507042253521126
19,0.11325782617796008,0.13043826649598383,0.9564314297287492,0.956338028169014,0.9588205933840167,0.956338028169014
