,train_loss,test_loss,test_f1,test_acc,test_prec,test_recall
0,0.6170235599477153,0.5679043091518778,0.666422478005406,0.7112676056338029,0.7964737622213335,0.7112676056338029
1,0.5064435160449227,0.41396539160903073,0.8736829944550063,0.8746478873239436,0.875813976937737,0.8746478873239436
2,0.3943482354073457,0.30120945077546885,0.8847575521019109,0.8845070422535212,0.888146062358524,0.8845070422535212
3,0.3403891347756781,0.25261431456031935,0.9031718395146128,0.9028169014084507,0.9064357542105292,0.9028169014084507
4,0.30968948282266445,0.23099168481331475,0.907379318239608,0.9070422535211268,0.910392665974967,0.9070422535211268
5,0.29183939610708487,0.21826888138139752,0.908775089917644,0.9084507042253521,0.9113944742675455,0.9084507042253521
6,0.2721238021909351,0.20856388619458172,0.9101692879330997,0.9098591549295775,0.9127370458259283,0.9098591549295775
7,0.25339941883777417,0.20265181347937652,0.915797540900513,0.9154929577464789,0.9194538651136256,0.9154929577464789
8,0.2437376537245111,0.1964920039432989,0.9185437726856144,0.9183098591549296,0.9210697955403834,0.9183098591549296
9,0.23406396544245486,0.19132792345759733,0.9199604058361256,0.9197183098591549,0.9232755786996507,0.9197183098591549
10,0.22336170331739671,0.18524341878127043,0.9227617976795844,0.9225352112676056,0.9254283253101901,0.9225352112676056
11,0.21524887419712377,0.17955583104155434,0.919958286817696,0.9197183098591549,0.9220298922562196,0.9197183098591549
12,0.20900500360089289,0.175598906027809,0.924172677268782,0.923943661971831,0.9265741887606878,0.923943661971831
13,0.19576936791037355,0.1702109855507881,0.9227665857374455,0.9225352112676056,0.9249039081408584,0.9225352112676056
14,0.19892519942495,0.16626808649637329,0.9269447711894667,0.9267605633802817,0.9287949974952489,0.9267605633802817
15,0.1885796746195342,0.16280096603006544,0.9269485143137957,0.9267605633802817,0.9285824142548481,0.9267605633802817
16,0.18253093677309104,0.15845207198142586,0.9339528026535954,0.9338028169014084,0.9356651404973607,0.9338028169014084
17,0.1757036879186479,0.1571578207360187,0.9325547060897318,0.9323943661971831,0.9342381879776446,0.9323943661971831
18,0.16876523172882194,0.15143164102984985,0.9353484448082519,0.9352112676056338,0.9371660464946918,0.9352112676056338
19,0.1655823322094639,0.1503448024641355,0.931162670574974,0.9309859154929577,0.9329715143211481,0.9309859154929577
